,loc,scale,expectation,cv
KANON,-2.0094934,0.4581183,0.14888856,0.32500026
KARA,-2.0778224,0.5040685,0.14216316,0.28203142
KBTIT,-2.065178,0.49810523,0.14354259,0.28817722
KEEP_OUT,-2.085144,0.4952344,0.14050454,0.2837132
KENZEN,-2.0573528,0.45510077,0.14173524,0.31143704
KGライオン,-2.0083888,0.50585645,0.15252249,0.30151337
KG姉貴,-2.0525572,0.50748676,0.14605297,0.28779662
KH,-2.0895581,0.55136704,0.1440557,0.26127005
KHK兄貴,-2.0803711,0.47715595,0.13994129,0.2932821
KMNマライダー,-2.0064123,0.46944323,0.15013449,0.31981394
KMNライダー,-2.069861,0.45025545,0.13966675,0.31019446
KMR,-1.9407672,0.49294248,0.16214393,0.32893074
KNAZ,-2.0805573,0.44937426,0.13812603,0.30737415
KNN姉貴,-2.0115924,0.52566385,0.15359575,0.29219386
KN姉貴,-2.118617,0.48811433,0.13540442,0.2774031
KOF,-2.1500745,0.49687132,0.13177836,0.26521626
KOS-MOS,-2.0550811,0.4747627,0.14336216,0.30196592
KS式初音ミク,-2.1061249,0.4745278,0.13621284,0.28704923
KTGIJGKGDUSIMN姉貴,-2.0693738,0.47595748,0.14140798,0.29710212
KYM,-2.0930986,0.50055337,0.13976094,0.27921286
Kamelie,-2.112533,0.53986406,0.1399029,0.2591447
Kanon,-2.1381693,0.50300676,0.13376626,0.26593333
Kenshi,-2.0818808,0.51032305,0.14203724,0.2783281
Kikuri,-2.0140507,0.4727422,0.1492238,0.31565577
Kofji姉貴,-2.0799742,0.4525045,0.13840182,0.30585736
L,-2.1288612,0.5118734,0.13562602,0.26496008
LAS,-2.029955,0.5258198,0.15081345,0.28681585
LBX,-1.9727813,0.43147734,0.15263666,0.3537536
LED,-2.1074173,0.49257737,0.13722943,0.27859467
LEGENDSアルセウス,-2.132631,0.48884708,0.13356788,0.2732304
LEGO,-2.0718353,0.48989597,0.14201306,0.28988412
LINE,-1.997525,0.49665928,0.15347928,0.3090233
LINEスタンプ,-2.033162,0.5392582,0.15141022,0.280775
LM姉貴,-2.0767796,0.4523122,0.13883258,0.30693972
LO,-2.031599,0.5090855,0.14926755,0.29320726
Lat式,-2.1007094,0.4678666,0.13652332,0.29179966
Lat式ミク,-2.1003084,0.50598586,0.13913682,0.27498165
Lat式改変テト,-2.0239985,0.47895062,0.14818384,0.30939272
Lat式改変リン,-2.0918725,0.5341566,0.1423864,0.26656303
League_of_Legends,-2.059036,0.5062427,0.14501832,0.28646007
Liella!,-2.0431812,0.46381947,0.14433518,0.31118828
Lily,-2.1408885,0.511812,0.13400038,0.26181564
Live2D,-2.0501812,0.5248424,0.14771782,0.28145176
Lobotomy_Corp,-1.9855878,0.49901852,0.15550488,0.31162146
Lobotomy_Corporation,-2.104667,0.50294167,0.13831912,0.2750202
Lovely,-2.1491113,0.52983123,0.13415617,0.25320548
M.S.SProject,-2.0003421,0.503789,0.1535943,0.30487823
M1911,-2.099742,0.5371174,0.1414945,0.26343307
M200,-2.051526,0.5316872,0.14805366,0.2784601
MA,-1.911686,0.4923472,0.16687955,0.33894688
MAD素材,-2.0566208,0.509348,0.1455984,0.28585252
MARU姉貴,-2.030894,0.5077266,0.14926964,0.2939961
MARVEL,-2.1295514,0.45984024,0.13214903,0.2873803
MAXコーヒー,-2.0461614,0.49087408,0.14577618,0.29697266
MCT姉貴,-2.062407,0.49213904,0.1435163,0.2916174
MCY姉貴,-2.0672626,0.51388335,0.14439185,0.28098175
MEIKO,-2.0687473,0.48283735,0.14196406,0.29402047
MGCM,-2.0621037,0.54219127,0.14732444,0.27172044
MGR姉貴,-2.1032465,0.5003723,0.13833731,0.27646878
MGS,-2.0530958,0.5214021,0.14702307,0.28197634
