,loc,scale,expectation,cv
201496,-2.0734112,0.45520383,0.13948391,0.6731507
201679,-2.026359,0.5118999,0.1502675,0.5734492
202127,-2.0761108,0.47433957,0.14035058,0.62378585
202312,-2.0187292,0.47202536,0.148477,0.66639006
204391,-2.0505335,0.45911822,0.14296737,0.67824703
205589,-2.2261655,0.5055705,0.12265682,0.4798752
205681,-1.9788555,0.47045976,0.15440299,0.69760686
207880,-2.048917,0.48413396,0.14489815,0.61820394
209513,-2.0539386,0.469924,0.14319839,0.64845955
212439,-2.0664382,0.51346886,0.14448015,0.54799926
217688,-2.0304115,0.51509047,0.14990517,0.5650015
218250,-1.9870702,0.5308374,0.1578396,0.5601353
218961,-2.0412393,0.5061375,0.14761442,0.57622457
227035,-2.0281034,0.53057396,0.15147284,0.5380751
227998,-2.0813491,0.45204625,0.13818303,0.6762215
228110,-1.9979675,0.5122775,0.15462486,0.5892082
230436,-2.0427318,0.4455095,0.14320296,0.72150284
232818,-1.9314437,0.5093175,0.16501126,0.636116
235304,-2.0713596,0.4807158,0.14144903,0.61210114
235480,-2.0300393,0.5015937,0.14893562,0.5919628
236213,-2.0296595,0.49579057,0.14856164,0.60438013
238711,-2.0230207,0.47459024,0.14802076,0.657181
239275,-2.0026128,0.4725742,0.15092842,0.67581993
241232,-2.069483,0.49258378,0.14253558,0.5874394
241951,-2.0040472,0.5053619,0.1531478,0.5996609
243002,-2.0259886,0.57430613,0.1555054,0.47147492
243287,-2.0483387,0.46811503,0.14388041,0.6565934
249331,-2.111422,0.47000048,0.13520384,0.6120578
249811,-2.024364,0.4990095,0.14958976,0.60073686
252346,-2.0097117,0.48864648,0.15102287,0.63248926
252678,-2.1118693,0.5326755,0.13945717,0.49149078
253330,-2.1228292,0.47841722,0.1342049,0.5863471
255306,-2.1023145,0.50807774,0.13900532,0.5384819
256111,-2.1195571,0.45331696,0.13307944,0.6476003
258008,-2.022172,0.54270405,0.15336907,0.5207289
258644,-2.0838525,0.53853,0.14386998,0.49607846
259611,-2.0314813,0.5287328,0.1508149,0.53947556
261647,-2.1160808,0.5644842,0.14131561,0.44349283
262736,-2.1031737,0.52268445,0.13993543,0.51221055
263602,-2.021425,0.5484245,0.1539634,0.51189846
264343,-2.0150728,0.49728727,0.15085661,0.61002785
264789,-2.0847783,0.49886966,0.14081013,0.5657958
266450,-2.0127969,0.49679205,0.15116313,0.6124866
266926,-2.078529,0.5616396,0.14648835,0.46439514
271077,-2.1608708,0.50083685,0.13062142,0.5207411
273194,-2.0384266,0.504458,0.14790462,0.5812081
274876,-2.0074134,0.47216505,0.15017657,0.6736193
275484,-2.0530777,0.4636106,0.14289999,0.6648528
279528,-2.0064893,0.5967299,0.16066302,0.45119092
280327,-2.0365412,0.5216271,0.1494948,0.5494216
289291,-2.1113427,0.49535137,0.13687925,0.5578416
294459,-1.9859644,0.5115156,0.15643099,0.59786755
